City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Pevek,RU,69.7008,170.3133,-30.62,99,65,4.76,broken clouds
Jamestown,US,42.097,-79.2353,36.72,94,90,3.0,mist
Faya,SA,18.3851,42.4509,59.52,71,2,1.72,clear sky
Norman Wells,CA,65.282,-126.8329,-2.16,78,90,0.0,light snow
Saint-Philippe,RE,-21.3585,55.7679,74.79,83,89,8.63,overcast clouds
Khonsa,IN,27.0167,95.5667,49.42,73,74,3.11,broken clouds
Albany,US,42.6001,-73.9662,33.1,75,100,3.56,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,31.37,92,100,15.68,light snow
Ponazyrevo,RU,58.3578,46.3142,5.05,94,100,7.87,overcast clouds
Ushuaia,AR,-54.8,-68.3,49.62,71,75,23.02,light rain
Paamiut,GL,61.994,-49.6678,17.82,68,1,7.47,clear sky
Luderitz,NA,-26.6481,15.1594,64.89,88,14,7.81,few clouds
Barrow,US,71.2906,-156.7887,-11.18,70,1,11.5,clear sky
Hermanus,ZA,-34.4187,19.2345,63.9,82,51,11.77,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,75,23.02,thunderstorm
Khasan,RU,42.4308,130.6434,12.11,59,1,12.24,clear sky
Dikson,RU,73.5069,80.5464,-4.32,85,94,12.46,overcast clouds
Rikitea,PF,-23.1203,-134.9692,76.68,86,100,27.74,moderate rain
Chuy,UY,-33.6971,-53.4616,71.29,56,0,12.48,clear sky
Upernavik,GL,72.7868,-56.1549,-6.48,78,93,8.1,overcast clouds
Qaanaaq,GL,77.484,-69.3632,-4.59,55,41,7.96,scattered clouds
Sao Francisco,BR,-15.9486,-44.8644,71.42,95,91,8.77,overcast clouds
Makarov,RU,48.6333,142.8,4.59,76,23,11.18,few clouds
Serebryansk,KZ,49.6925,83.2892,18.95,91,96,3.49,overcast clouds
Bayan,CN,46.0833,127.4,-12.8,97,34,3.36,scattered clouds
Faanui,PF,-16.4833,-151.75,79.88,66,4,2.33,clear sky
Salinopolis,BR,-0.6136,-47.3561,80.74,80,16,9.44,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,100,11.52,overcast clouds
Puerto Madryn,AR,-42.7692,-65.0385,86.95,22,1,19.57,clear sky
Lompoc,US,34.6391,-120.4579,53.91,84,90,3.44,mist
Lavrentiya,RU,65.5833,-171.0,-1.8,97,100,12.62,snow
Sao Filipe,CV,14.8961,-24.4956,76.35,62,2,12.01,clear sky
Cam Ranh,VN,11.9214,109.1591,75.16,88,40,16.11,scattered clouds
Margate,GB,51.3813,1.3862,51.96,93,74,1.99,broken clouds
Leningradskiy,RU,69.3833,178.4167,-29.42,98,60,4.21,broken clouds
Saint-Augustin,CA,51.226,-58.6502,35.4,78,100,18.37,overcast clouds
Bluff,NZ,-46.6,168.3333,55.8,58,78,15.79,broken clouds
Mongo,TD,12.1844,18.693,76.37,21,68,8.3,broken clouds
Klaksvik,FO,62.2266,-6.589,41.92,90,98,8.12,overcast clouds
Tura,IN,25.5198,90.2201,58.06,55,26,4.21,scattered clouds
Cape Town,ZA,-33.9258,18.4232,65.88,86,20,1.01,few clouds
Denpasar,ID,-8.65,115.2167,82.06,83,40,13.8,scattered clouds
Amahai,ID,-3.3333,128.9167,78.51,84,100,6.76,light rain
Kintinku,TZ,-5.8833,35.2333,76.57,68,84,3.94,broken clouds
Carlsbad,US,33.1581,-117.3506,59.47,64,75,3.0,broken clouds
Kaitangata,NZ,-46.2817,169.8464,55.92,78,100,4.68,overcast clouds
New Norfolk,AU,-42.7826,147.0587,57.76,77,56,2.91,broken clouds
Provideniya,RU,64.3833,-173.3,3.36,85,90,40.26,light snow
Lorengau,PG,-2.0226,147.2712,80.92,82,100,5.06,overcast clouds
Preston,GB,53.7667,-2.7167,48.33,93,100,1.01,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,34.52,86,75,4.61,mist
Okhotsk,RU,59.3833,143.3,-20.9,80,99,18.07,overcast clouds
Hilo,US,19.7297,-155.09,76.12,45,40,5.75,light rain
Garden City,US,42.3256,-83.331,39.88,97,90,3.44,mist
Butaritari,KI,3.0707,172.7902,81.72,78,96,10.65,overcast clouds
Nikolskoye,RU,59.7035,30.7861,8.49,100,87,3.22,overcast clouds
Turmalina,BR,-17.2856,-42.73,68.09,98,100,1.86,overcast clouds
Nanma,CN,36.1817,118.1583,25.66,38,3,3.94,clear sky
Karratha,AU,-20.7377,116.8463,92.77,29,100,16.24,light rain
Airai,TL,-8.9266,125.4092,59.29,91,100,2.28,overcast clouds
Phuket,TH,8.0,98.25,79.02,83,20,9.22,few clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,86,11,12.1,few clouds
Busselton,AU,-33.65,115.3333,73.04,52,6,10.36,light rain
Sokoni,TZ,-6.4333,39.55,80.46,75,90,5.86,overcast clouds
Hithadhoo,MV,-0.6,73.0833,81.01,76,87,9.13,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,77.38,88,100,3.96,overcast clouds
Carnarvon,AU,-24.8667,113.6333,75.27,88,84,13.8,broken clouds
Yellowknife,CA,62.456,-114.3525,-24.59,76,75,8.05,broken clouds
Belyy Yar,RU,53.6039,91.3903,-4.11,84,20,2.24,mist
Lata,PT,40.1629,-8.3327,59.92,97,18,5.03,few clouds
Alofi,NU,-19.0595,-169.9187,82.29,69,75,9.22,light rain
Mataura,NZ,-46.1927,168.8643,55.47,89,100,2.66,overcast clouds
Torbay,CA,47.6666,-52.7314,36.57,96,90,17.27,light intensity drizzle
Port Alfred,ZA,-33.5906,26.891,66.09,88,100,13.47,light rain
Fairbanks,US,64.8378,-147.7164,26.56,66,1,12.66,clear sky
Karamursel,TR,40.6914,29.6157,58.08,70,100,7.31,overcast clouds
Georgetown,MY,5.4112,100.3354,80.53,81,20,0.0,few clouds
Vaini,TO,-21.2,-175.2,82.56,83,40,4.61,volcanic ash
Stranraer,GB,54.9023,-5.0273,44.49,78,100,7.0,overcast clouds
East London,ZA,-33.0153,27.9116,66.43,86,100,15.03,light rain
Aykhal,RU,66.0,111.5,-19.59,95,100,7.81,overcast clouds
Gao,ML,16.6362,1.637,68.31,16,40,11.79,scattered clouds
Chauk,MM,20.8833,94.8167,64.35,73,1,5.21,clear sky
Byron Bay,AU,-28.65,153.6167,69.19,85,100,19.66,light rain
Solenzo,BF,12.1833,-4.0833,80.44,14,100,7.58,overcast clouds
Mbuji-Mayi,CD,-6.15,23.6,67.78,97,100,3.13,overcast clouds
Komyshuvakha,UA,47.7176,35.5288,22.14,87,100,11.74,overcast clouds
Birao,CF,10.2849,22.7882,73.65,22,19,5.5,few clouds
Ketchikan,US,55.3422,-131.6461,21.18,86,90,0.0,overcast clouds
Raxaul,IN,26.9833,84.85,59.25,60,84,3.31,broken clouds
Sinnamary,GF,5.3833,-52.95,78.48,89,71,9.24,broken clouds
Gorin,RU,51.1983,136.6669,-28.84,99,59,3.24,broken clouds
Lebork,PL,54.5392,17.7501,23.92,66,6,14.32,clear sky
Anta,IN,25.15,76.3,63.66,52,99,5.77,overcast clouds
Kirovo-Chepetsk,RU,58.5539,50.0399,4.96,93,100,8.93,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,4.84,72,0,10.36,clear sky
Bengkulu,ID,-3.8004,102.2655,75.49,89,70,4.41,broken clouds
Paita,PE,-5.0892,-81.1144,77.56,74,100,16.02,overcast clouds
Skibbereen,IE,51.55,-9.2667,48.0,86,91,4.21,overcast clouds
Auki,SB,-8.7676,160.7034,81.05,86,100,5.84,heavy intensity rain
Khandyga,RU,62.6667,135.6,-58.02,100,76,1.52,broken clouds
Ludwigslust,DE,53.3167,11.5,31.98,90,100,11.07,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,55.51,41,20,41.43,few clouds
Prince Rupert,CA,54.3161,-130.3201,19.09,87,75,5.75,broken clouds
La Tuque,CA,47.4334,-72.7824,10.65,61,100,5.75,overcast clouds
Plettenberg Bay,ZA,-34.0527,23.3716,64.42,93,100,7.63,overcast clouds
Dzhalka,RU,43.3186,45.9879,32.88,93,77,2.59,broken clouds
Hobart,AU,-42.8794,147.3294,57.11,83,20,1.99,few clouds
Chokurdakh,RU,70.6333,147.9167,-26.57,99,98,5.3,overcast clouds
Moron,AR,-34.6534,-58.6198,96.8,53,27,4.0,scattered clouds
Saskylakh,RU,71.9167,114.0833,-29.15,100,95,4.41,overcast clouds
Saldanha,ZA,-33.0117,17.9442,64.45,90,33,6.26,scattered clouds
Khuzdar,PK,27.7384,66.6434,50.94,67,96,0.76,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,55.81,64,99,5.03,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,63.72,77,28,6.91,scattered clouds
Avarua,CK,-21.2078,-159.775,80.65,61,20,4.61,few clouds
Grindavik,IS,63.8424,-22.4338,28.87,74,40,8.05,scattered clouds
Turukhansk,RU,65.8167,87.9833,-9.58,86,4,11.9,clear sky
Bilma,NE,18.6853,12.9164,63.68,19,0,9.8,clear sky
Iqaluit,CA,63.7506,-68.5145,13.73,92,90,6.91,light snow
Atar,MR,20.5169,-13.0499,73.76,19,8,7.92,clear sky
Hay River,CA,60.8156,-115.7999,-22.02,69,1,8.05,clear sky
Erdenet,MN,49.0333,104.0833,0.25,69,99,4.79,overcast clouds
Baykit,RU,61.67,96.37,-17.72,99,23,2.26,few clouds
Makhachkala,RU,42.9764,47.5024,37.38,88,77,3.27,broken clouds
Kapaa,US,22.0752,-159.319,79.12,72,40,1.99,light rain
Qurayyat,SA,31.3318,37.3428,44.78,53,0,2.3,clear sky
Santa Lucia,ES,27.9117,-15.5407,60.12,68,75,8.05,broken clouds
Calapi,PH,11.9435,125.0206,72.93,93,100,7.23,heavy intensity rain
Iberia,US,29.9502,-91.7507,79.99,73,90,9.22,overcast clouds
Nichinan,JP,31.6,131.3667,34.75,72,2,4.45,clear sky
Chegem,RU,43.2833,43.1333,12.33,64,96,8.59,overcast clouds
Saint Anthony,US,45.0205,-93.218,19.33,71,40,7.0,scattered clouds
Campbeltown,GB,55.4258,-5.6076,42.85,85,100,10.92,overcast clouds
Antalaha,MG,-14.9003,50.2788,73.81,89,38,3.24,scattered clouds
Havoysund,NO,70.9963,24.6622,30.43,65,100,8.66,snow
Katsuura,JP,35.1333,140.3,37.51,57,4,12.28,clear sky
Atuona,PF,-9.8,-139.0333,79.43,71,62,17.78,broken clouds
Viedma,AR,-40.8135,-62.9967,85.33,21,0,11.54,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,91,68,21.5,broken clouds
Iskateley,RU,67.6803,53.1512,-3.84,97,100,6.26,overcast clouds
Maridi,SS,4.9158,29.4742,77.23,53,100,4.38,overcast clouds
Henties Bay,NA,-22.116,14.2845,64.85,90,43,6.29,scattered clouds
Bella Vista,US,36.4295,-94.2316,63.12,34,1,4.0,clear sky
Aklavik,CA,68.2191,-135.0107,-1.48,87,100,27.63,overcast clouds
Mitu,CO,1.1983,-70.1733,80.29,80,100,2.08,overcast clouds
Ust-Maya,RU,60.4167,134.5333,-49.95,100,100,1.03,overcast clouds
Ola,RU,59.5833,151.2833,-7.22,74,100,17.13,overcast clouds
Rawson,AR,-43.3002,-65.1023,81.66,32,13,6.29,few clouds
Olafsvik,IS,64.8945,-23.7142,31.08,66,77,29.59,broken clouds
Mandali,IQ,33.7499,45.5541,49.69,46,0,5.41,clear sky
Dongsheng,CN,39.8161,109.9776,10.62,24,0,5.39,clear sky
Hirara,JP,24.8,125.2833,65.12,68,86,18.19,overcast clouds
Geraldton,AU,-28.7667,114.6,88.21,15,8,14.97,clear sky
Namibe,AO,-15.1961,12.1522,67.98,78,43,6.29,scattered clouds
Andenes,NO,69.3143,16.1194,21.18,86,20,9.22,few clouds
Daru,PG,-9.0763,143.2092,78.51,87,100,3.49,overcast clouds
Dakar,SN,14.6937,-17.4441,76.08,78,0,4.61,clear sky
Chulumani,BO,-16.4096,-67.5263,72.88,71,100,2.44,overcast clouds
Omboue,GA,-1.5746,9.2618,77.7,87,91,6.67,overcast clouds
Slidell,US,30.2752,-89.7812,81.1,65,90,3.0,overcast clouds
Xuddur,SO,4.1213,43.8894,75.99,54,90,13.42,overcast clouds
Port Blair,IN,11.6667,92.75,79.0,79,18,9.48,few clouds
Kavaratti,IN,10.5669,72.642,79.86,72,20,8.55,few clouds
Cururupu,BR,-1.8283,-44.8683,77.99,84,72,3.65,broken clouds
Harper,LR,4.375,-7.7169,80.53,81,34,8.52,scattered clouds
Pangnirtung,CA,66.1451,-65.7125,3.2,72,20,6.91,few clouds
Kassala,SD,15.451,36.4,74.55,67,71,8.32,broken clouds
Lashio,MM,22.9333,97.75,48.96,95,0,1.57,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,90,34.52,light snow
Analipsis,GR,35.3167,25.5667,60.12,72,100,9.28,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,66.6,88,75,20.71,broken clouds
Olinda,BR,-8.0089,-34.8553,82.13,78,75,9.22,broken clouds
Najran,SA,17.4924,44.1277,57.85,39,0,4.23,clear sky
Melnikovo,RU,56.5558,84.085,18.25,94,100,8.66,overcast clouds
San Rafael,AR,-34.6177,-68.3301,95.18,14,23,16.11,few clouds
Thompson,CA,55.7435,-97.8558,-14.64,76,75,11.5,broken clouds
Touros,BR,-5.1989,-35.4608,83.3,76,69,12.55,broken clouds
Teahupoo,PF,-17.8333,-149.2667,76.96,69,100,4.32,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,93,75,3.44,broken clouds
Vao,NC,-22.6667,167.4833,78.4,86,100,11.9,overcast clouds
Esperance,AU,-33.8667,121.9,55.24,86,0,11.79,clear sky
Sao Borja,BR,-28.6606,-56.0044,97.95,11,36,12.48,scattered clouds
San Patricio,US,28.017,-97.5169,87.78,55,2,17.36,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,73.42,83,0,18.01,clear sky
Lakatoro,VU,-16.0999,167.4164,83.46,77,88,8.81,overcast clouds
Narva-Joesuu,EE,59.4589,28.0408,15.55,94,74,5.06,broken clouds
Tiksi,RU,71.6872,128.8694,-14.73,100,100,5.46,overcast clouds
Solec Kujawski,PL,53.0837,18.2257,17.87,71,7,1.99,clear sky
Kalemie,CD,-5.9475,29.1947,71.89,78,100,2.55,overcast clouds
Oranjemund,NA,-28.55,16.4333,64.67,88,25,6.13,scattered clouds
Laguna,US,38.421,-121.4238,52.11,78,75,5.01,broken clouds
Saint George,US,37.1041,-113.5841,50.47,46,1,5.01,clear sky
Port Elizabeth,ZA,-33.918,25.5701,68.29,94,40,12.66,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,68.72,84,31,2.44,scattered clouds
Casa Branca,BR,-21.7739,-47.0864,90.43,75,75,3.65,broken clouds
Dodola,ET,6.9833,39.1833,53.13,63,100,3.38,overcast clouds
Constitucion,CL,-35.3333,-72.4167,67.48,65,79,7.31,broken clouds
Ahipara,NZ,-35.1667,173.1667,68.54,89,100,5.08,overcast clouds
Ruston,US,32.5232,-92.6379,79.7,53,75,8.05,broken clouds
Gat,IL,31.61,34.7642,58.41,64,36,1.68,scattered clouds
Hasaki,JP,35.7333,140.8333,23.4,52,25,13.4,scattered clouds
Port Lincoln,AU,-34.7333,135.8667,60.22,71,6,18.88,clear sky
Ancud,CL,-41.8697,-73.8203,72.93,78,37,10.18,scattered clouds
Kodiak,US,57.79,-152.4072,45.91,66,1,10.36,clear sky
Isangel,VU,-19.55,169.2667,82.51,89,40,0.0,scattered clouds
Mandalgovi,MN,45.7625,106.2708,4.87,48,5,13.91,clear sky
Kavieng,PG,-2.5744,150.7967,82.92,77,91,7.0,overcast clouds
Soe,ID,-9.8607,124.284,63.25,86,100,5.03,overcast clouds
Ulladulla,AU,-35.35,150.4667,59.88,80,97,8.9,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,79.05,78,75,5.75,broken clouds
Maragogi,BR,-9.0122,-35.2225,78.48,84,94,7.9,overcast clouds
Roma,US,43.2128,-75.4557,31.68,77,90,8.05,overcast clouds
Natal,BR,-5.795,-35.2094,84.42,74,75,12.66,broken clouds
Odweyne,SO,9.4092,45.064,66.42,70,54,0.34,broken clouds
Labuhan,ID,-6.8844,112.2051,78.75,85,100,7.83,overcast clouds
North Bend,US,43.4065,-124.2243,37.85,96,90,8.05,overcast clouds
Sola,VU,-13.8833,167.55,81.99,72,99,6.33,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,51.71,82,7,8.05,clear sky
Nishihara,JP,26.1842,127.7558,58.28,86,75,4.61,broken clouds
Ostrovnoy,RU,68.0531,39.5131,4.23,87,73,9.73,broken clouds
La Rioja,ES,42.25,-2.5,47.05,70,75,8.41,broken clouds
Lebu,CL,-37.6167,-73.65,63.18,74,48,18.99,scattered clouds
Eganville,CA,45.5334,-77.0994,13.33,74,100,6.17,overcast clouds
Pyay,MM,18.8167,95.2167,63.39,73,0,6.26,clear sky
Taltal,CL,-25.4,-70.4833,70.83,70,26,7.27,scattered clouds
Mangaratiba,BR,-22.9597,-44.0406,74.03,86,98,11.56,overcast clouds
Krasnyy Chikoy,RU,50.3643,108.7512,-6.5,96,71,2.71,broken clouds
Cabadiangan,PH,9.7531,122.4739,75.7,87,96,5.53,overcast clouds
Uglovskoye,RU,51.3557,80.1942,9.23,92,91,8.1,overcast clouds
Panvel,IN,18.9833,73.1,75.27,62,1,1.99,clear sky
Lardos,GR,36.0942,28.0157,58.82,64,100,9.66,overcast clouds
Shingu,JP,33.7333,135.9833,43.92,70,6,8.61,clear sky
Galesong,ID,-5.3166,119.3661,75.22,86,100,6.42,overcast clouds
Frontino,CO,6.7801,-76.1288,69.64,91,96,2.98,overcast clouds
Yumen,CN,40.2833,97.2,16.43,62,99,16.22,overcast clouds
Sobolevo,RU,54.4299,31.8996,14.25,95,59,7.43,broken clouds
Jasper,US,37.2001,-94.3502,57.52,29,40,1.99,scattered clouds
Mangrol,IN,21.1167,70.1167,69.62,78,4,11.3,clear sky
Biryusinsk,RU,55.9634,97.8235,-20.4,100,95,1.45,overcast clouds
Tautira,PF,-17.7333,-149.15,82.42,68,82,4.36,broken clouds
Souillac,MU,-20.5167,57.5167,79.18,78,75,5.75,broken clouds
Taganak,PH,6.0833,118.3,77.14,81,100,7.47,overcast clouds
Whyalla,AU,-33.0333,137.5833,62.49,59,0,10.36,clear sky
Lavumisa,SZ,-27.31,31.892,67.32,93,100,9.55,light rain
Cockburn Town,TC,21.4612,-71.1419,78.76,65,40,6.91,scattered clouds
Khatanga,RU,71.9667,102.5,-31.22,100,47,3.51,scattered clouds
Victoria,HK,22.2855,114.1577,57.25,83,98,5.99,overcast clouds
Inhambane,MZ,-23.865,35.3833,78.1,83,22,14.03,few clouds
Wajima,JP,37.4,136.9,34.81,77,100,24.94,light rain
Altay,CN,47.8667,88.1167,11.46,62,68,4.45,broken clouds
Kieta,PG,-6.2167,155.6333,82.51,77,90,3.58,overcast clouds
Srednekolymsk,RU,67.45,153.6833,-36.76,100,100,4.76,overcast clouds
Xining,CN,36.6167,101.7667,12.69,67,2,2.75,clear sky
Mitsamiouli,KM,-11.3847,43.2844,81.5,69,100,9.31,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,12.36,75,4,6.44,clear sky
Yar-Sale,RU,66.8333,70.8333,6.08,94,100,18.63,light snow
Vilyuysk,RU,63.7553,121.6247,-31.14,100,100,0.69,overcast clouds
Castro,BR,-24.7911,-50.0119,76.42,52,53,4.59,broken clouds
Cidreira,BR,-30.1811,-50.2056,74.55,69,2,10.22,clear sky
Moree,AU,-29.4667,149.85,66.22,72,97,8.05,overcast clouds
Mahebourg,MU,-20.4081,57.7,79.09,78,75,5.75,broken clouds
Kupang,ID,-10.1667,123.5833,78.57,85,100,13.49,overcast clouds
Rajpipla,IN,21.8667,73.5,68.09,58,47,2.84,scattered clouds
Portland,US,45.5234,-122.6762,33.39,84,75,1.01,broken clouds
Rayevskiy,RU,54.0658,54.9468,-6.97,100,70,6.33,broken clouds
Lalibela,ET,12.0333,39.0333,58.77,51,88,7.05,overcast clouds
Haines Junction,CA,60.7522,-137.5108,15.75,92,99,2.3,overcast clouds
Ascension,US,30.2169,-90.9001,80.01,69,90,11.5,overcast clouds
Orotukan,RU,62.2667,151.7,-23.75,99,100,4.36,overcast clouds
Lixourion,GR,38.2019,20.4314,58.8,80,100,12.33,overcast clouds
Anloga,GH,5.7947,0.8973,84.42,80,100,10.54,overcast clouds
Hervey Bay,AU,-25.2986,152.8535,77.04,85,48,14.18,scattered clouds
Lagoa,PT,39.05,-27.9833,64.42,82,77,24.85,broken clouds
Port Keats,AU,-14.25,129.55,73.42,79,100,6.13,overcast clouds
Tabuk,PH,17.4189,121.4443,67.57,93,100,4.29,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,71.96,69,40,1.01,scattered clouds
Quang Ngai,VN,15.1167,108.8,70.57,96,100,4.25,overcast clouds
Yaring,TH,6.8662,101.3689,76.15,86,55,5.44,broken clouds
Andrews,US,32.3187,-102.5457,78.06,29,1,13.8,clear sky
Sarishabari,BD,24.7333,89.8333,65.23,53,67,7.14,broken clouds
Kungurtug,RU,50.5994,97.5228,-13.2,93,22,1.1,few clouds
Bereznehuvate,UA,47.3078,32.8499,26.74,96,100,17.76,snow
America Dourada,BR,-11.4553,-41.4361,69.94,90,81,4.97,broken clouds
Dingle,PH,10.9995,122.6711,74.3,92,98,12.44,overcast clouds
La Primavera,CO,5.4906,-70.4092,93.76,32,35,8.99,scattered clouds
Gravdal,NO,68.1214,13.5031,31.89,69,75,9.22,light snow
Baracoa,CU,20.3467,-74.4958,76.53,66,3,8.5,clear sky
Okany,HU,46.9,21.35,32.56,99,100,5.44,overcast clouds
Edinburg,GB,55.9521,-3.1965,41.22,95,75,1.01,broken clouds
Pokhara,NP,28.2333,83.9833,50.56,60,60,6.06,broken clouds
Tilichiki,RU,60.4667,166.1,-9.81,98,100,13.0,snow
Cherskiy,RU,68.75,161.3,-44.97,100,82,1.61,broken clouds
Port Hawkesbury,CA,45.6169,-61.3485,34.18,92,90,11.99,overcast clouds
Bhadrachalam,IN,17.6667,80.8833,65.62,92,40,2.73,scattered clouds
Pisco,PE,-13.7,-76.2167,71.65,83,75,11.5,broken clouds
Sorland,NO,67.667,12.6934,35.46,98,100,19.26,light rain
Savannah Bight,HN,16.45,-85.85,82.0,74,15,16.4,few clouds
Bud,US,39.447,-86.1758,67.42,79,100,15.88,overcast clouds
Kaseda,JP,31.4167,130.3167,34.84,74,56,9.95,broken clouds
Dunedin,NZ,-45.8742,170.5036,58.8,67,79,4.0,broken clouds
Bethel,US,41.3712,-73.414,35.1,69,90,0.0,overcast clouds
Ajdabiya,LY,30.7554,20.2263,55.98,51,9,12.1,clear sky
Zemio,CF,5.0314,25.1361,80.49,40,99,2.57,overcast clouds
Altamont,US,42.2068,-121.7372,24.76,74,98,7.0,snow
Kruisfontein,ZA,-34.0033,24.7314,65.88,93,100,9.42,overcast clouds
Talnakh,RU,69.4865,88.3972,-11.94,90,17,8.61,few clouds
Intipuca,SV,13.1969,-88.0544,89.2,39,2,4.72,clear sky
Palm Coast,US,29.585,-81.2078,75.42,58,40,8.05,scattered clouds
Batesville,US,35.7698,-91.641,73.81,66,20,8.99,few clouds
Gamba,GA,-2.65,10.0,76.75,90,93,4.61,overcast clouds
Abha,SA,18.2164,42.5053,59.25,23,0,11.5,clear sky
Vidisha,IN,23.5333,77.8167,59.41,52,95,6.64,overcast clouds
Rehnan,IR,32.6846,51.6013,40.68,38,0,2.48,clear sky
Tual,ID,-5.6667,132.75,82.51,80,100,27.47,overcast clouds
Nouadhibou,MR,20.931,-17.0347,71.58,60,4,5.75,clear sky
Vila Velha,BR,-20.3297,-40.2925,85.95,73,40,15.01,scattered clouds
Entre Rios,BR,-11.9419,-38.0844,74.05,93,95,5.06,overcast clouds
Sabang,ID,5.8933,95.3214,81.93,70,35,19.53,scattered clouds
Flinders,AU,-34.5833,150.8552,64.18,79,91,7.0,overcast clouds
Castlegar,CA,49.2998,-117.6689,12.88,87,24,2.24,few clouds
Beringovskiy,RU,63.05,179.3167,9.14,95,100,22.28,snow
Jiancheng,CN,30.391,104.5491,40.21,89,97,4.0,overcast clouds
Waldkraiburg,DE,48.2085,12.3989,37.31,58,100,3.89,overcast clouds
Berlevag,NO,70.8578,29.0864,28.35,54,75,12.66,snow
Port Hedland,AU,-20.3167,118.5667,93.25,24,55,14.97,broken clouds
Lasa,IT,46.6166,10.7002,40.08,89,100,3.22,overcast clouds
Mildura,AU,-34.2,142.15,60.76,55,0,11.5,clear sky
Chimoio,MZ,-19.1164,33.4833,76.86,94,20,2.24,few clouds
Katherine,AU,-14.4667,132.2667,73.72,88,90,4.61,overcast clouds
Lunavada,IN,23.1333,73.6167,67.26,59,98,8.32,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,81.32,69,7,12.75,clear sky
